"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Your Store web application user administration","User registration","Failed registration with previously registered email","0","0","1","0","0"
"Your Store web application marketplace","Listing and saving data from the web application","Save the name, description and price of all laptops from the list into a text file","0","0","1","0","0"
"Your Store web application user administration","Login","Successful login","0","0","1","0","0"
"Your Store web application marketplace","Listing data","Listing all sales items","0","0","1","0","0"
"Your Store web application user administration","User registration","Successful registration","0","0","1","0","0"
"Your Store web application user administration","User registration","Open privacy statement and check the checkbox","0","0","1","0","0"
"Your Store web application user administration","Login","Failed login - invalid password","0","0","1","0","0"
"Your Store web application user administration","Address book administration","Add multiple new addresses to an existing account from .csv file","0","0","4","0","0"
"Your Store web application user administration","Address book administration","Deleting addresses from the address book","0","0","1","0","0"
"Your Store web application user administration","User data administration","Modification of the customer's first name","0","0","1","0","0"
"Your Store web application marketplace","Listing data","Navigate to the next page with more results after listing all sales items","0","0","1","0","0"
"Your Store web application user administration","Address book administration","Add address to an existing account","0","0","1","0","0"
"Your Store web application user administration","Logout","Login and logout","0","0","1","0","0"
